title,contents,url,source_site,crawled_at,fingerprint,metadata
제3장 최저임금의 결정 제9조(최저임금안에 대한 이의 제기),① 고용노동부장관은 제8조제2항에 따라 위원회로부터 최저임금안을 제출받은 때에는 대통령령으로 정하는 바에 따라 최저임금안을 고시하여야 한다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,fc194138c641f09b175d689a434e0b074207baffcfe2fe1474239f4b29f35965,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제3장 최저임금의 결정', 'article': '제9조(최저임금안에 대한 이의 제기)'}"
제3장 최저임금의 결정 제10조(최저임금의 고시와 효력발생),① 고용노동부장관은 최저임금을 결정한 때에는 지체 없이 그 내용을 고시하여야 한다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,6f869c4c6d9459087e6869197805e56d322405d6c03ed0ed4b49885868ec7b55,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제3장 최저임금의 결정', 'article': '제10조(최저임금의 고시와 효력발생)'}"
제3장 최저임금의 결정 제11조(주지 의무),최저임금의 적용을 받는 사용자는 대통령령으로 정하는 바에 따라 해당 최저임금을 그 사업의 근로자가 쉽게 볼 수 있는 장소에 게시하거나 그 외의 적당한 방법으로 근로자에게 널리 알려야 한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,3577f01d6a4b771b67502a6bce1e00423ab411c0fda9ad991312861e05269e66,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제3장 최저임금의 결정', 'article': '제11조(주지 의무)'}"
제4장 최저임금위원회 제12조(최저임금위원회의 설치),최저임금에 관한 심의와 그 밖에 최저임금에 관한 중요 사항을 심의하기 위하여 고용노동부에 최저임금위원회를 둔다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,bb669df298833d4f856821a4eb0c6653f3a8a57141b5fb1543350d9eb273fcc3,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제12조(최저임금위원회의 설치)'}"
제4장 최저임금위원회 제13조(위원회의 기능),위원회는 다음 각 호의 기능을 수행한다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,1fa7cd2c12bc41f7d519d9b5c475419d4571355318cecd13ffa6d3b44b2dd8d2,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제13조(위원회의 기능)'}"
제4장 최저임금위원회 제14조(위원회의 구성 등),① 위원회는 다음 각 호의 위원으로 구성한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,7999f97d51327a9ab08c79b0613a7f16f9c31185d17ca497fe2dc4ddebe42903,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제14조(위원회의 구성 등)'}"
제4장 최저임금위원회 제15조(위원장과 부위원장),① 위원회에 위원장과 부위원장 각 1명을 둔다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,2179483f262e60ed169178aca93a531de003b8954844b5edf32880aaab62e7e2,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제15조(위원장과 부위원장)'}"
제4장 최저임금위원회 제16조(특별위원),① 위원회에는 관계 행정기관의 공무원 중에서 3명 이내의 특별위원을 둘 수 있다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,51ca6f04b699f0eb6823a9377f56132641af140368110ca12eb027f095e58aa3,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제16조(특별위원)'}"
제4장 최저임금위원회 제17조(회의),① 위원회의 회의는 다음 각 호의 경우에 위원장이 소집한다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,22a5eec7cc922bbfaaef3d557fe4eed29eaa766beb93bb493cd5bec847f81c6b,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제17조(회의)'}"
제4장 최저임금위원회 제18조(의견 청취),"위원회는 그 업무를 수행할 때에 필요하다고 인정하면 관계 근로자와 사용자, 그 밖의 관계인의 의견을 들을 수 있다.",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,33b8856df64f80f4cfb08a94218f8d087c66d8f7d042ecf79b251840f38a69b0,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제18조(의견 청취)'}"
제4장 최저임금위원회 제19조(전문위원회),① 위원회는 필요하다고 인정하면 사업의 종류별 또는 특정 사항별로 전문위원회를 둘 수 있다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,18a3aa7e19f663ee1203710de10840aafc4d1b4a527338c12c7488650d9b9771,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제19조(전문위원회)'}"
제4장 최저임금위원회 제20조(사무국),① 위원회에 그 사무를 처리하게 하기 위하여 사무국을 둔다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,b1600055af2dbb106dbc186778057f746f373e6794745188c67a2212e0c197cf,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제20조(사무국)'}"
제4장 최저임금위원회 제21조(위원의 수당 등),위원회 및 전문위원회의 위원에게는 대통령령으로 정하는 바에 따라 수당과 여비를 지급할 수 있다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,4c3c779a0e7c875a218a43d8330dbc6957a98b824bca96e6bca573f5f6885517,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제21조(위원의 수당 등)'}"
제4장 최저임금위원회 제22조(운영규칙),위원회는 이 법에 어긋나지 아니하는 범위에서 위원회 및 전문위원회의 운영에 관한 규칙을 제정할 수 있다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,f6342b9754efb53a4e110ba10b4cc01d4a8e07b8fba59ada1037355b3bb100fc,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제4장 최저임금위원회', 'article': '제22조(운영규칙)'}"
제5장 보칙 제23조(생계비 및 임금실태 등의 조사),고용노동부장관은 근로자의 생계비와 임금실태 등을 매년 조사하여야 한다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,9faa7e0f39a784d1552edd0a0adb56818af3cf1cd377c6898ce1f97e895376e4,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제5장 보칙', 'article': '제23조(생계비 및 임금실태 등의 조사)'}"
제5장 보칙 제24조(정부의 지원),정부는 근로자와 사용자에게 최저임금제도를 원활하게 실시하는 데에 필요한 자료를 제공하거나 그 밖에 필요한 지원을 하도록 최대한 노력하여야 한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,3680b93dcfb126e5ca721b9ef8853e45103d5f0af92bcdf335fb40a1b624f496,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제5장 보칙', 'article': '제24조(정부의 지원)'}"
제5장 보칙 제25조(보고),고용노동부장관은 이 법의 시행에 필요한 범위에서 근로자나 사용자에게 임금에 관한 사항을 보고하게 할 수 있다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,86922afc0b9aa6388885ca7414547a17f2f8a4dcae1c7b5b7eb91a9980bd8599,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제5장 보칙', 'article': '제25조(보고)'}"
제5장 보칙 제26조(근로감독관의 권한),① 고용노동부장관은 「근로기준법」 제101조에 따른 근로감독관에게 대통령령으로 정하는 바에 따라 이 법의 시행에 관한 사무를 관장하도록 한다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,00382802b47c259d1b5db8af2195084ca457c240b52f5d3ddc270633359d1109,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제5장 보칙', 'article': '제26조(근로감독관의 권한)'}"
제5장 보칙 제26조의2(권한의 위임),이 법에 따른 고용노동부장관의 권한은 대통령령으로 정하는 바에 따라 그 일부를 지방고용노동관서의 장에게 위임할 수 있다. <개정 2010. 6. 4.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,91fdc8a14e517eac2577a494a75a1945bab0ac15a1b47ebe94dfe548d57c0820,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제5장 보칙', 'article': '제26조의2(권한의 위임)'}"
제5장 보칙 제27조,삭제 <2008. 3. 21.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,6ce539641b35f17d69d471c7e6994279cdcc959bcfbecbac3bf7c06bc6f0fb9a,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제5장 보칙', 'article': '제27조'}"
제6장 벌칙 제28조(벌칙),①제6조제1항 또는 제2항을 위반하여 최저임금액보다 적은 임금을 지급하거나 최저임금을 이유로 종전의 임금을 낮춘 자는 3년 이하의 징역 또는 2천만원 이하의 벌금에 처한다. 이 경우 징역과 벌금은 병과(倂科)할 수 있다. <개정 2012. 2. 1.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,21d5dcf064ba832af3d37d0831d36cf9d085272abf3e2ee29140fc54fe0050fb,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제6장 벌칙', 'article': '제28조(벌칙)'}"
제6장 벌칙 제29조,삭제 <1999. 2. 8.>,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,3d10b2cc271c46ff5958ed82e81b87335c7a109274aec0890a6dc59bf15a3217,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제6장 벌칙', 'article': '제29조'}"
제6장 벌칙 제30조(양벌규정),"① 법인의 대표자, 대리인, 사용인, 그 밖의 종업원이 그 법인의 업무에 관하여 제28조의 위반행위를 하면 그 행위자를 벌할 뿐만 아니라 그 법인에도 해당 조문의 벌금형을 과(科)한다.",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,d0879af8b9230527d331851e8dbeda14273008ac8264aff895d362c89eb029df,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제6장 벌칙', 'article': '제30조(양벌규정)'}"
제6장 벌칙 제31조(과태료),① 다음 각 호의 어느 하나에 해당하는 자에게는 100만원 이하의 과태료를 부과한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,ccbcc5b199c287231e35d2851436a81aa324e75b2cd59ec426289ec1a705256f,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제6장 벌칙', 'article': '제31조(과태료)'}"
